About|Tungkol|Tentang|Giới thiệu|เกี่ยวกับ|Acerca de|Sobre|À propos|Über|О программе
Keep the best available pets placed without repeatedly pressing Place Best when nothing changed.|Panatilihing naka-place ang pinakamahusay na pets nang hindi paulit-ulit pinipindot ang Place Best kapag walang pagbabago.|Menjaga pet terbaik tetap dipasang tanpa terus menekan Place Best saat tidak ada perubahan.|Giữ các pet tốt nhất được đặt mà không lặp lại Place Best khi không có gì thay đổi.|วางสัตว์เลี้ยงที่ดีที่สุดไว้โดยไม่กด Place Best ซ้ำเมื่อไม่มีอะไรเปลี่ยน|Mantiene colocadas las mejores mascotas sin repetir Place Best cuando nada cambia.|Mantém os melhores pets colocados sem repetir Place Best quando nada muda.|Maintient les meilleurs animaux placés sans relancer Place Best quand rien ne change.|Hält die besten verfügbaren Begleiter platziert, ohne Place Best bei unverändertem Zustand ständig auszuführen.|Держит лучших доступных питомцев размещёнными, не повторяя Place Best без изменений.
Lightweight local-only highlights with live distance labels.|Magaan na local-only highlights na may live distance labels.|Sorotan lokal ringan dengan label jarak langsung.|Làm nổi nhẹ chỉ cục bộ với nhãn khoảng cách trực tiếp.|ไฮไลต์แบบโลคัลที่เบาพร้อมป้ายระยะทางสด|Resaltados locales ligeros con etiquetas de distancia en vivo.|Destaques locais leves com etiquetas de distância em tempo real.|Surlignages locaux légers avec distance en direct.|Leichte lokale Hervorhebungen mit Live-Entfernungslabels.|Лёгкая локальная подсветка с живыми метками расстояния.
Locally hide and disable other players' garden visuals/effects while keeping your own garden untouched.|Lokal na itago at i-disable ang visuals/effects ng garden ng ibang player habang hindi ginagalaw ang sarili mong garden.|Sembunyikan dan nonaktifkan visual/efek kebun pemain lain secara lokal tanpa mengubah kebun sendiri.|Ẩn và tắt cục bộ hình ảnh/hiệu ứng vườn của người chơi khác, giữ nguyên vườn của bạn.|ซ่อนและปิดภาพ/เอฟเฟกต์สวนของผู้เล่นอื่นเฉพาะฝั่งคุณ โดยไม่แตะสวนของคุณ|Oculta y desactiva localmente los efectos visuales de los jardines de otros jugadores sin tocar el tuyo.|Oculta e desativa localmente os visuais/efeitos dos jardins de outros jogadores sem alterar o seu.|Masque et désactive localement les visuels/effets des jardins des autres joueurs sans toucher au vôtre.|Blendet lokal Garten-Visuals/Effekte anderer Spieler aus, ohne den eigenen Garten zu verändern.|Локально скрывает и отключает визуальные эффекты садов других игроков, не трогая ваш сад.
Lowest to Highest|Pinakamababa hanggang Pinakamataas|Terendah ke Tertinggi|Thấp lên cao|ต่ำไปสูง|De menor a mayor|Do menor para o maior|Du plus bas au plus élevé|Niedrigste zu Höchste|От меньшего к большему
Maximum $/s to Sell|Maximum $/s na Ibebenta|Maksimum $/s untuk Dijual|$ /s tối đa để bán|$ /s สูงสุดที่จะขาย|Máximo $/s para vender|Máximo $/s para vender|$/s maximum à vendre|Maximales $/s zum Verkaufen|Макс. $/s для продажи
Minimum Egg K.G|Minimum K.G ng Itlog|K.G Minimum Telur|K.G trứng tối thiểu|K.G ไข่ขั้นต่ำ|K.G mínimo del huevo|K.G mínimo do ovo|K.G minimum de l’œuf|Minimales Ei-K.G|Минимальный K.G яйца
Minimum Egg Luck|Minimum Egg Luck|Egg Luck Minimum|Egg Luck tối thiểu|Egg Luck ขั้นต่ำ|Egg Luck mínimo|Egg Luck mínimo|Egg Luck minimum|Minimales Egg Luck|Минимальный Egg Luck
Mirrors the original in-game Auto-Buy switches.|Ginagaya ang original in-game Auto-Buy switches.|Meniru sakelar Auto-Buy asli dalam game.|Phản chiếu các công tắc Auto-Buy gốc trong game.|ทำตามสวิตช์ Auto-Buy เดิมในเกม|Refleja los interruptores Auto-Buy originales del juego.|Espelha os botões Auto-Buy originais do jogo.|Reproduit les interrupteurs Auto-Buy d’origine du jeu.|Spiegelt die ursprünglichen Auto-Buy-Schalter im Spiel.|Повторяет штатные переключатели Auto-Buy в игре.
Movement cycle: Steal first, then Sell. During an active Auto Steal, Hatch, Place, Feed, Hatch Luck, Rebirth and Equip Best pause and automatically resume after the steal is fully finished.|Movement cycle: Steal muna, saka Sell. Habang aktibo ang Auto Steal, naka-pause ang Hatch, Place, Feed, Hatch Luck, Rebirth at Equip Best at awtomatikong babalik pagkatapos.|Siklus gerak: Steal dulu, lalu Sell. Saat Auto Steal aktif, Hatch, Place, Feed, Hatch Luck, Rebirth, dan Equip Best dijeda lalu otomatis lanjut setelah selesai.|Chu trình di chuyển: Steal trước, rồi Sell. Khi Auto Steal hoạt động, Hatch, Place, Feed, Hatch Luck, Rebirth và Equip Best tạm dừng rồi tự tiếp tục sau khi hoàn tất.|ลำดับการเคลื่อนที่: Steal ก่อน แล้ว Sell ระหว่าง Auto Steal, Hatch, Place, Feed, Hatch Luck, Rebirth และ Equip Best จะพักและทำต่ออัตโนมัติเมื่อเสร็จ|Ciclo de movimiento: primero Steal, luego Sell. Durante Auto Steal, Hatch, Place, Feed, Hatch Luck, Rebirth y Equip Best se pausan y reanudan al terminar.|Ciclo de movimento: primeiro Steal, depois Sell. Durante Auto Steal, Hatch, Place, Feed, Hatch Luck, Rebirth e Equip Best pausam e retomam ao terminar.|Cycle de mouvement : Steal d’abord, puis Sell. Pendant Auto Steal, Hatch, Place, Feed, Hatch Luck, Rebirth et Equip Best se mettent en pause puis reprennent à la fin.|Bewegungszyklus: zuerst Steal, dann Sell. Während Auto Steal pausieren Hatch, Place, Feed, Hatch Luck, Rebirth und Equip Best und setzen danach automatisch fort.|Цикл движения: сначала Steal, затем Sell. Во время Auto Steal Hatch, Place, Feed, Hatch Luck, Rebirth и Equip Best ставятся на паузу и автоматически продолжаются после завершения.
Never sell favorited pets.|Huwag ibenta ang favorite pets.|Jangan jual pet favorit.|Không bán thú cưng yêu thích.|ห้ามขายสัตว์เลี้ยงโปรด|Nunca vendas mascotas favoritas.|Nunca venda pets favoritos.|Ne jamais vendre les animaux favoris.|Favoriten niemals verkaufen.|Никогда не продавать избранных питомцев.
Never sell locked pets.|Huwag ibenta ang locked pets.|Jangan jual pet terkunci.|Không bán thú cưng đã khóa.|ห้ามขายสัตว์เลี้ยงที่ล็อก|Nunca vendas mascotas bloqueadas.|Nunca venda pets bloqueados.|Ne jamais vendre les animaux verrouillés.|Gesperrte Begleiter niemals verkaufen.|Никогда не продавать заблокированных питомцев.
Never sell pets currently placed/equipped in your garden. Auto Sell uses unequipped inventory pets first.|Huwag ibenta ang pets na kasalukuyang naka-place/equip sa garden. Inuuna ng Auto Sell ang unequipped inventory pets.|Jangan jual pet yang sedang dipasang/dipakai di kebun. Auto Sell memakai pet inventaris yang tidak dipasang terlebih dahulu.|Không bán pet đang đặt/trang bị trong vườn. Auto Sell ưu tiên pet trong kho chưa trang bị.|ห้ามขายสัตว์เลี้ยงที่กำลังวาง/ใช้งานในสวน Auto Sell จะใช้สัตว์เลี้ยงในคลังที่ไม่ได้สวมใส่ก่อน|Nunca vendas mascotas colocadas/equipadas en tu jardín. Auto Sell usa primero las no equipadas del inventario.|Nunca venda pets colocados/equipados no jardim. Auto Sell usa primeiro pets não equipados do inventário.|Ne jamais vendre les animaux placés/équipés dans le jardin. Auto Sell utilise d’abord ceux non équipés de l’inventaire.|Verkaufe niemals Begleiter, die im Garten platziert/ausgerüstet sind. Auto Sell nutzt zuerst nicht ausgerüstete Inventar-Begleiter.|Никогда не продавать питомцев, размещённых/экипированных в саду. Auto Sell сначала использует неэкипированных питомцев из инвентаря.
ON: highest $/s mutation-free pets. OFF: selected pets below.|ON: pinakamataas na $/s na pets na walang mutation. OFF: mga napiling pets sa ibaba.|ON: pet tanpa mutasi dengan $/s tertinggi. OFF: pet yang dipilih di bawah.|BẬT: pet không đột biến có $/s cao nhất. TẮT: pet được chọn bên dưới.|เปิด: สัตว์เลี้ยงไม่มีมิวเทชันที่มี $/s สูงสุด ปิด: ใช้สัตว์เลี้ยงที่เลือกด้านล่าง|ON: mascotas sin mutación con mayor $/s. OFF: mascotas seleccionadas abajo.|ON: pets sem mutação com maior $/s. OFF: pets selecionados abaixo.|ON : animaux sans mutation avec le plus grand $/s. OFF : animaux sélectionnés ci-dessous.|AN: mutationsfreie Begleiter mit höchstem $/s. AUS: unten ausgewählte Begleiter.|ВКЛ: питомцы без мутаций с максимальным $/s. ВЫКЛ: выбранные ниже питомцы.
Only Auto Place carried eggs at or above this real displayed K.G. Supports 50k, 1.5m, commas and decimals. 0 disables the filter.|Auto Place lang ng dala mong itlog na nasa o lampas sa tunay na displayed K.G. Suporta ang 50k, 1.5m, commas at decimals. 0 = off.|Hanya Auto Place telur bawaan dengan K.G tampilan asli sama atau di atas nilai ini. Mendukung 50k, 1.5m, koma dan desimal. 0 menonaktifkan filter.|Chỉ Auto Place trứng đang mang có K.G hiển thị thật bằng hoặc cao hơn mức này. Hỗ trợ 50k, 1.5m, dấu phẩy và thập phân. 0 tắt bộ lọc.|Auto Place เฉพาะไข่ที่ถืออยู่ซึ่งมี K.G ที่แสดงจริงเท่ากับหรือสูงกว่าค่านี้ รองรับ 50k, 1.5m, จุลภาคและทศนิยม 0 = ปิดตัวกรอง|Auto Place solo coloca huevos llevados con K.G real mostrado igual o superior. Admite 50k, 1.5m, comas y decimales. 0 desactiva el filtro.|Auto Place só coloca ovos carregados com K.G real exibido igual ou superior. Aceita 50k, 1.5m, vírgulas e decimais. 0 desativa o filtro.|Auto Place ne place que les œufs transportés dont le K.G réel affiché est au moins cette valeur. Accepte 50k, 1.5m, virgules et décimales. 0 désactive le filtre.|Auto Place platziert nur getragene Eier mit diesem oder höherem echten angezeigten K.G. Unterstützt 50k, 1.5m, Kommas und Dezimalwerte. 0 deaktiviert den Filter.|Auto Place размещает только переносимые яйца с реальным отображаемым K.G не ниже этого значения. Поддерживаются 50k, 1.5m, запятые и десятичные значения. 0 отключает фильтр.
Only sell pets earning this amount per second or less. 0 disables the $/s filter.|Ibenta lang ang pets na kumikita ng halagang ito bawat segundo o mas mababa. 0 = off ang $/s filter.|Hanya jual pet dengan penghasilan per detik sebesar ini atau kurang. 0 menonaktifkan filter $/s.|Chỉ bán pet kiếm mức này mỗi giây hoặc thấp hơn. 0 tắt bộ lọc $/s.|ขายเฉพาะสัตว์เลี้ยงที่ทำเงินต่อวินาทีเท่านี้หรือน้อยกว่า 0 = ปิดตัวกรอง $/s|Vende solo mascotas que ganen esta cantidad por segundo o menos. 0 desactiva el filtro $/s.|Venda apenas pets que ganhem este valor por segundo ou menos. 0 desativa o filtro $/s.|Vendre uniquement les animaux gagnant ce montant par seconde ou moins. 0 désactive le filtre $/s.|Verkaufe nur Begleiter, die diesen Betrag pro Sekunde oder weniger verdienen. 0 deaktiviert den $/s-Filter.|Продавать только питомцев с доходом не выше этого значения в секунду. 0 отключает фильтр $/s.
